Film_id,Title,Premiere,Runtime,Genres,Language,Type,Description,Age_certification,IMDB_id,IMDB_score,IMDB_votes,TMDB_score,TMDB_votes
tm842829,Dead Kids,"December 1, 2019",94,"Thriller, Crime, Drama",Filipino,MOVIE,A socially awkward teen bonds with a group of misfits who plot to abduct the school's arrogant rich kid -- until their kidnapping scheme turns deadly.,UNKNOWN,tt11156614,5.5,494.0,5.9,3.644
tm1031499,Get the Grift,"April 28, 2021",94,"Comedy, Crime",Portuguese,MOVIE,"After a botched scam, Clóvis bumps into Lohane, his estranged foster sister. In a bind, they soon realize the only way out is to band together.",UNKNOWN,tt14371060,5.5,748.0,6.5,20.388
tm863514,House Arrest,"November 15, 2019",104,"Comedy, Family",Hindi,MOVIE,A world-weary man's self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.,UNKNOWN,tt11163028,5.5,1655.0,6.4,3.176
tm457296,Kevin Hart's Guide to Black History,"February 8, 2019",63,Comedy,English,MOVIE,Kevin Hart highlights the fascinating contributions of black history's unsung heroes in this entertaining -- and educational -- comedy special.,pg,tt6373518,5.5,1347.0,5.4,3.248
tm554944,Love Wedding Repeat,"April 10, 2020",100,"Comedy, Romance",English,MOVIE,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl who got away in alternate versions of the same day.",UNKNOWN,tt5096470,5.5,20412.0,5.66,10.708
tm244325,Mute,"February 23, 2018",126,"Science Fiction, Mystery, Thriller",English,MOVIE,A mute man with a violent past is forced to take on the teeming underworld of a near-future Berlin as he searches for his missing girlfriend.,r,tt1464763,5.5,35158.0,5.6,15.734
tm979182,Red Dot,"February 11, 2021",86,"Thriller, Horror",Swedish,MOVIE,"On a hiking trip to rekindle their marriage, a couple find themselves fleeing for their lives in the unforgiving wilderness from an unknown shooter.",UNKNOWN,tt11307814,5.5,13322.0,5.9,54.3
tm1000797,Ride or Die,"April 15, 2021",142,"Drama, Romance, Thriller",Japanese,MOVIE,"Rei helps the woman she's been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire.",r,tt14164234,5.5,1900.0,6.5,79.299
tm280060,Step Sisters,"January 19, 2018",108,Comedy,English,MOVIE,"Jamilah has her whole life figured out. She's the president of her black sorority, captain of their champion step dance crew, is student liaison to the college dean, and her next move is on to Harvard Law School. She's got it all, right? But when the hard-partying white girls from Sigma Beta Beta embarrass the school, Jamilah is ordered to come to the rescue. Her mission is to not only teach the rhythmically-challenged girls how to step dance, but to win the Steptacular, the most competitive of dance competitions. With the SBBs reputations and charter on the line, and Jamilah's dream of attending Harvard in jeopardy, these outcast screw-ups and their unlikely teacher stumble through one hilarious misstep after another. Cultures clash, romance blossoms, and sisterhood prevails as everyone steps out of their comfort zones.",pg-13,tt5267472,5.5,4496.0,6.5,9.814
tm239286,The Cloverfield Paradox,"February 4, 2018",102,"Horror, Science Fiction, Action, Thriller",English,MOVIE,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality.",pg-13,tt2548396,5.5,104068.0,5.6,21.122
tm679284,The Knight Before Christmas,"November 21, 2019",92,"Comedy, Romance",English,MOVIE,A medieval English knight is magically transported to present-day America where he falls for a high school science teacher who is disillusioned by love.,UNKNOWN,tt10060094,5.5,17862.0,6.5,15.628
tm238377,The Legacy of a Whitetail Deer Hunter,"July 6, 2018",83,Comedy,English,MOVIE,A star of hunting videos strives to bond with his 12-year-old son on a wilderness trip but learns familial connections can't be forced.,UNKNOWN,tt4762824,5.5,3924.0,5.1,8.03
tm371380,The Package,"August 10, 2018",94,Comedy,English,MOVIE,"When a group of teenagers goes on a spring break camping trip, an unfortunate accident sets off a race to save their friend’s most prized possession.",r,tt7525778,5.5,17858.0,6.0,20.72
tm349800,Unicorn Store,"April 5, 2019",92,"Fantasy, Drama, Comedy",English,MOVIE,"A woman named Kit moves back to her parent's house, where she receives a mysterious invitation that would fulfill her childhood dreams.",UNKNOWN,tt2338454,5.5,19444.0,6.0,8.72
tm458553,Wine Country,"May 10, 2019",103,Comedy,English,MOVIE,"A group of friends head to the land of oaky Chardonnays and big, bold Cabernet Sauvignons for one member of the squad’s 50th birthday party.",r,tt8169446,5.5,21213.0,5.5,11.397
tm322210,Bomb Scared,"October 12, 2017",89,Comedy,Spanish/Basque,MOVIE,"Somewhere in Spain, four ETA terrorists await a phone call before carrying out a mission, while the 2010 FIFA World Cup, where Spanish soccer team is one of the favorites to win, is being held in South Africa.",UNKNOWN,tt6895746,5.6,2871.0,5.4,5.399
tm232947,Brahman Naman,"July 7, 2016",95,Comedy,English,MOVIE,This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything -- except how to talk to women.,UNKNOWN,tt5240748,5.6,1901.0,5.6,2.608
tm981676,Double Dad,"January 15, 2021",103,"Comedy, Drama, Family",Portuguese,MOVIE,"While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is.",UNKNOWN,tt11821818,5.6,1290.0,6.7,12.143
tm824165,Falling Inn Love,"August 29, 2019",97,"Romance, Comedy",English,MOVIE,"When city girl Gabriela spontaneously enters a contest and wins a rustic New Zealand inn, she teams up with bighearted contractor Jake Taylor to fix and flip it.",UNKNOWN,tt9860752,5.6,19559.0,6.529,19.061
